"Kinoto", 35.70, 188
"Zanahoria", 25.34, 720
"Kiwi", 429.52, 440
"Acelga", 6.85, 954
"Batata", 21.85, 1190
"Mandarina", 24.96, 920
"Naranja", 17.47, 1160
"Lima", 1149.30, 216
"Alcachofa", 135.13, 276
"Alcachofa", 163.54, 288
"Banana", 68.24, 830
"Zanahoria", 33.44, 522
"Ajo", 884.80, 102
"Champignon", 3505.92, 114
"Pepino", 42.28, 430
"Rabanito", 225.34, 342
"Pomelo", 42.42, 1035
"Durazno", 179.33, 672
"Calabaza", 25.98, 760
"Kiwi", 436.96, 328
"Kinoto", 35.81, 174
"Batata", 14.05, 990
"Pera", 155.26, 1100
"Higo", 2642.26, 108
"Durazno", 157.49, 824
"Ciruela", 952.59, 765
"Choclo", 49.22, 360
"Papa", 16.06, 1070
"Apio", 55.70, 246
"Sandia", 59.84, 1080
"Banana", 58.18, 980
"Palta", 465.51, 405
"Mandarina", 15.49, 810
"Berenjena", 57.93, 714
"Brocoli", 365.43, 440
"Frambuesa", 2148.65, 93
"Morron", 3048.34, 594
"Ajo", 880.92, 91
"Coliflor", 41.27, 545
"Durazno", 265.35, 912
"Pera", 142.62, 1030
"Zanahoria", 29.25, 576
"Durazno", 143.25, 896
"Caqui", 787.83, 119
"Pomelo", 51.24, 1008
"Morron", 2973.49, 522
"Sandia", 52.92, 864
"Lima", 1028.47, 162
"Lima", 1260.53, 216
"Ajo", 868.06, 106
"Lima", 1346.17, 186
"Cebolla", 74.02, 736
"Apio", 54.26, 264
"Morron", 2945.16, 522
"Apio", 54.18, 261
"Rabanito", 202.75, 261
"Coliflor", 31.68, 465
"Durazno", 281.73, 704
"Kinoto", 37.31, 208
"Lima", 1228.22, 226
"Durazno", 263.00, 864
"Berenjena", 64.36, 576
"Frambuesa", 2096.49, 119
"Naranja", 22.04, 1050
"Durazno", 287.77, 864
"Cebolla", 69.23, 680
"TomCherry", 531.26, 170
"Pepino", 34.70, 530
"Uva", 685.41, 294
"Lima", 1002.47, 182
"Naranja", 8.88, 1130
"Ciruela", 1004.46, 999
"Pera", 152.25, 1140
"Frutilla", 320.52, 315
"Melon", 93.45, 372
"Choclo", 61.82, 318
"Sandia", 64.73, 729
"Manzana", 154.47, 950
"TomCherry", 547.13, 178
"Palta", 481.94, 420
"Mandarina", 17.53, 830
"Cebolla", 63.53, 888
"Frutilla", 272.37, 273
"Rabanito", 237.01, 294
"Repollo", 4.29, 588
"Caqui", 830.68, 86
"Alcachofa", 141.46, 330
"Champignon", 3589.19, 99
"Cebolla", 54.79, 848
"Manzana", 141.59, 1000
"Choclo", 63.66, 294
"Coliflor", 41.57, 550
"Durazno", 297.93, 960
"Naranja", 15.57, 910
"Esparrago", 620.52, 184
"Tomate", 760.75, 945
"Frutilla", 293.45, 273
"Champignon", 3423.35, 95
"Brocoli", 395.18, 448
"Alcachofa", 132.97, 318
"Pepino", 35.07, 475
"Durazno", 135.11, 928
"Kinoto", 28.90, 236
"Zanahoria", 33.89, 600
"Durazno", 281.67, 768
"TomCherry", 571.37, 202
"Choclo", 47.90, 318
"Coliflor", 13.20, 465
"Choclo", 67.05, 351
"Acelga", 20.88, 972
"Pera", 158.55, 1070
"Caqui", 763.79, 89
"TomCherry", 518.37, 232
"Frutilla", 297.72, 330
"Pomelo", 41.85, 918
"Pepino", 34.30, 425
"Coliflor", 24.36, 585
"Kiwi", 426.68, 464
"Higo", 2506.51, 96
"Palta", 1132.56, 384
"Coliflor", 35.43, 515
"Alcachofa", 133.05, 348
"Manzana", 133.86, 1110
"Lechuga", 38.25, 1035
"Naranja", 15.82, 1150
"Morron", 2922.89, 552
"Pera", 127.34, 1040
"Choclo", 58.48, 273
"Naranja", 11.80, 1100
"Higo", 2484.24, 118
"Repollo", 4.95, 609
"Frutilla", 266.80, 282
"Calabaza", 23.13, 832
"Frambuesa", 2018.84, 118
"Frambuesa", 1979.19, 93
"Lima", 1383.45, 168
"Zuccini", 79.38, 600
"Cebolla", 58.03, 744
"Ajo", 934.79, 110
"Alcachofa", 153.60, 345
"Pepino", 38.47, 430
"Caqui", 811.11, 119
"Mandarina", 6.64, 970
"Uva", 705.00, 285
"Alcachofa", 145.03, 324
"Papa", 12.52, 1120
"Morron", 3100.54, 654
"Frutilla", 273.95, 345
"Acelga", 29.29, 873
"Durazno", 266.40, 832
"Pera", 159.33, 850
"Melon", 113.12, 440
"Frambuesa", 2012.34, 97
"Ciruela", 1000.73, 1017
"Morron", 2975.86, 708
"Palta", 1134.51, 452
"Naranja", 10.93, 880
"Durazno", 170.41, 952
"Pepino", 38.23, 550
"Batata", 23.90, 1150
"Zanahoria", 36.01, 498
"Caqui", 770.43, 111
"Lima", 1239.58, 212
"Champignon", 3527.16, 113
"Frambuesa", 2110.28, 118
"Caqui", 833.86, 112
"Durazno", 288.22, 896
"Pomelo", 40.81, 1080
"Brocoli", 358.21, 472
"Cereza", 1017.81, 238
"Lima", 1212.02, 204
"Durazno", 161.26, 680
"Naranja", 15.98, 1000
"Alcachofa", 134.90, 348
"Higo", 2447.77, 107
